content,casefolding,text_clean,stopword,stemmed
the quality of the Chinese language lessons is pretty bad and doesn't seem to be getting better even though they are changing it. the other languages are generally pretty good though so yeah. Update: they sent an AI generated customer support reply in the wrong language. Planning to cancel my subscription.,the quality of the chinese language lessons is pretty bad and doesn't seem to be getting better even though they are changing it. the other languages are generally pretty good though so yeah. update: they sent an ai generated customer support reply in the wrong language. planning to cancel my subscription.,the quality of the chinese language lessons is pretty bad and doesnt seem to be getting better even though they are changing it the other languages are generally pretty good though so yeah update they sent an ai generated customer support reply in the wrong language planning to cancel my subscription,quality chinese language lessons pretty bad doesnt seem getting better even though changing languages generally pretty good though yeah update sent ai generated customer support reply wrong language planning cancel subscription,qualiti chines languag lesson pretti bad doesnt seem get better even though chang languag gener pretti good though yeah updat sent ai gener custom support repli wrong languag plan cancel subscript
"It's been a fun experience so far, there are a few aspects that drive my interest specifically; the leaderboard and ""league promotion"" platform is engaging and creates a bit of a competitive environment that aides in learning. Trying to get the high score for the week is a cheeky little way to keep people coming back. The lessons/mini games/varying challenges have been enjoyable as well. I also appreciate the addition of music/math to the course choices to supplement the language courses.","it's been a fun experience so far, there are a few aspects that drive my interest specifically; the leaderboard and ""league promotion"" platform is engaging and creates a bit of a competitive environment that aides in learning. trying to get the high score for the week is a cheeky little way to keep people coming back. the lessons/mini games/varying challenges have been enjoyable as well. i also appreciate the addition of music/math to the course choices to supplement the language courses.",its been  fun experience so far there are  few aspects that drive my interest specifically the leaderboard and league promotion platform is engaging and creates  bit of  competitive environment that aides in learning trying to get the high score for the week is  cheeky little way to keep people coming back the lessonsmini gamesvarying challenges have been enjoyable as well  also appreciate the addition of musicmath to the course choices to supplement the language courses,fun experience far aspects drive interest specifically leaderboard league promotion platform engaging creates bit competitive environment aides learning trying get high score week cheeky little way keep people coming back lessonsmini gamesvarying challenges enjoyable well also appreciate addition musicmath course choices supplement language courses,fun experi far aspect drive interest specif leaderboard leagu promot platform engag creat bit competit environ aid learn tri get high score week cheeki littl way keep peopl come back lessonsmini gamesvari challeng enjoy well also appreci addit musicmath cours choic supplement languag cours
"I used to love duolingo. one of the best features of being able to practice for hearts, that way when you were doing poorly, it gave you additional practice. they changed it so you could only get one heart through practice, and now they've completely taken away the option to practice for hearts. it's nothing but a big money grab overwhelming you with advertisements. I guess it's time for me to find a new language app.","i used to love duolingo. one of the best features of being able to practice for hearts, that way when you were doing poorly, it gave you additional practice. they changed it so you could only get one heart through practice, and now they've completely taken away the option to practice for hearts. it's nothing but a big money grab overwhelming you with advertisements. i guess it's time for me to find a new language app.", used to love duolingo one of the best features of being able to practice for hearts that way when you were doing poorly it gave you additional practice they changed it so you could only get one heart through practice and now theyve completely taken away the option to practice for hearts its nothing but  big money grab overwhelming you with advertisements  guess its time for me to find  new language app,used love duolingo one best features able practice hearts way poorly gave additional practice changed could get one heart practice theyve completely taken away option practice hearts nothing big money grab overwhelming advertisements guess time find new language app,use love duolingo one best featur abl practic heart way poorli gave addit practic chang could get one heart practic theyv complet taken away option practic heart noth big money grab overwhelm advertis guess time find new languag app
"After coming back after a few year hiatus, it's clear that the users are not the priority. There's no real incentive to keep learning past the multiplier timer. You can't practice to earn hearts, so it's harder to fully learn the concepts, which sometimes, aren't very clear in the first place. The push for AI content is atrocious and y'all should really be reading the room- nobody wants AI garbage. This used to be a really good app, but profit is clearly more important to you than your mission.","after coming back after a few year hiatus, it's clear that the users are not the priority. there's no real incentive to keep learning past the multiplier timer. you can't practice to earn hearts, so it's harder to fully learn the concepts, which sometimes, aren't very clear in the first place. the push for ai content is atrocious and y'all should really be reading the room- nobody wants ai garbage. this used to be a really good app, but profit is clearly more important to you than your mission.",after coming back after  few year hiatus its clear that the users are not the priority theres no real incentive to keep learning past the multiplier timer you cant practice to earn hearts so its harder to fully learn the concepts which sometimes arent very clear in the first place the push for ai content is atrocious and yall should really be reading the room nobody wants ai garbage this used to be  really good app but profit is clearly more important to you than your mission,coming back year hiatus clear users priority theres real incentive keep learning past multiplier timer cant practice earn hearts harder fully learn concepts sometimes arent clear first place push ai content atrocious yall really reading room nobody wants ai garbage used really good app profit clearly important mission,come back year hiatu clear user prioriti there real incent keep learn past multipli timer cant practic earn heart harder fulli learn concept sometim arent clear first place push ai content atroci yall realli read room nobodi want ai garbag use realli good app profit clearli import mission
"New issue: The “practice to earn hearts” button is completely gone. A big loss to my learning routine. On major curriculum changes: Quality German learning content, as far as I can tell, but the newer “pathway” design actually makes me feel a little lost. I made fewer mistakes with the old castle style, even though the lessons I'd unlocked were at a higher difficulty than after the curriculum reboot. Even after using the new layout much longer, it's still not my favorite of the two.","new issue: the “practice to earn hearts” button is completely gone. a big loss to my learning routine. on major curriculum changes: quality german learning content, as far as i can tell, but the newer “pathway” design actually makes me feel a little lost. i made fewer mistakes with the old castle style, even though the lessons i'd unlocked were at a higher difficulty than after the curriculum reboot. even after using the new layout much longer, it's still not my favorite of the two.",new issue the practice to earn hearts button is completely gone  big loss to my learning routine on major curriculum changes quality german learning content as far as  can tell but the newer pathway design actually makes me feel  little lost  made fewer mistakes with the old castle style even though the lessons id unlocked were at  higher difficulty than after the curriculum reboot even after using the new layout much longer its still not my favorite of the two,new issue practice earn hearts button completely gone big loss learning routine major curriculum changes quality german learning content far tell newer pathway design actually makes feel little lost made fewer mistakes old castle style even though lessons id unlocked higher difficulty curriculum reboot even using new layout much longer still favorite two,new issu practic earn heart button complet gone big loss learn routin major curriculum chang qualiti german learn content far tell newer pathway design actual make feel littl lost made fewer mistak old castl style even though lesson id unlock higher difficulti curriculum reboot even use new layout much longer still favorit two
"Edit: so, they changed the ability to just practice which the worst update they could've done. One main reason I loved it was the ability to just practice, HOWEVER learning a new language is hard enough but forcing you to move forward when your not ready or lose your streak. They need to change it back. Other updates are fine but they should have never changed practice😞 Original (part): Love it. I keep forgetting you can tap on the words to get the translation. They don't make that an issue.","edit: so, they changed the ability to just practice which the worst update they could've done. one main reason i loved it was the ability to just practice, however learning a new language is hard enough but forcing you to move forward when your not ready or lose your streak. they need to change it back. other updates are fine but they should have never changed practice😞 original (part): love it. i keep forgetting you can tap on the words to get the translation. they don't make that an issue.",edit so they changed the ability to just practice which the worst update they couldve done one main reason  loved it was the ability to just practice however learning  new language is hard enough but forcing you to move forward when your not ready or lose your streak they need to change it back other updates are fine but they should have never changed practice original part love it  keep forgetting you can tap on the words to get the translation they dont make that an issue,edit changed ability practice worst update couldve done one main reason loved ability practice however learning new language hard enough forcing move forward ready lose streak need change back updates fine never changed practice original part love keep forgetting tap words get translation dont make issue,edit chang abil practic worst updat couldv done one main reason love abil practic howev learn new languag hard enough forc move forward readi lose streak need chang back updat fine never chang practic origin part love keep forget tap word get translat dont make issu
"after using duolingo for over a decade, and with a current 2200+ day streak, i think i am finally done with this app. it was fun to learn at first, but with the addition of AI, things have just gotten worse. a lot of the words or sentence structures are wrong. now i can't even just ""practice for hearts"" - instead you have to watch ads. no thanks, i will just learn elsewhere. not wasting time watching ads or paying to learn wrong things. on to the next app.","after using duolingo for over a decade, and with a current 2200+ day streak, i think i am finally done with this app. it was fun to learn at first, but with the addition of ai, things have just gotten worse. a lot of the words or sentence structures are wrong. now i can't even just ""practice for hearts"" - instead you have to watch ads. no thanks, i will just learn elsewhere. not wasting time watching ads or paying to learn wrong things. on to the next app.",after using duolingo for over  decade and with  current day streak  think  am finally done with this app it was fun to learn at first but with the addition of ai things have just gotten worse  lot of the words or sentence structures are wrong now  cant even just practice for hearts instead you have to watch ads no thanks  will just learn elsewhere not wasting time watching ads or paying to learn wrong things on to the next app,using duolingo decade current day streak think finally done app fun learn first addition ai things gotten worse lot words sentence structures wrong cant even practice hearts instead watch ads thanks learn elsewhere wasting time watching ads paying learn wrong things next app,use duolingo decad current day streak think final done app fun learn first addit ai thing gotten wors lot word sentenc structur wrong cant even practic heart instead watch ad thank learn elsewher wast time watch ad pay learn wrong thing next app
"It's fine. I don't find it particularly enjoyable, but I've learned a bit. I do find the streaks and leagues to be very annoying though, as they distract me from actually making any progress. It's all about getting experience, not losing the streak, and rising in leagues, and this has resulted in me almost never actually doing lessons to learn (and I barely do any lessons outside of the practice ones, so I'm not making progress). It's actively detrimental to my experience.","it's fine. i don't find it particularly enjoyable, but i've learned a bit. i do find the streaks and leagues to be very annoying though, as they distract me from actually making any progress. it's all about getting experience, not losing the streak, and rising in leagues, and this has resulted in me almost never actually doing lessons to learn (and i barely do any lessons outside of the practice ones, so i'm not making progress). it's actively detrimental to my experience.",its fine  dont find it particularly enjoyable but ive learned  bit  do find the streaks and leagues to be very annoying though as they distract me from actually making any progress its all about getting experience not losing the streak and rising in leagues and this has resulted in me almost never actually doing lessons to learn and  barely do any lessons outside of the practice ones so im not making progress its actively detrimental to my experience,fine dont find particularly enjoyable ive learned bit find streaks leagues annoying though distract actually making progress getting experience losing streak rising leagues resulted almost never actually lessons learn barely lessons outside practice ones im making progress actively detrimental experience,fine dont find particularli enjoy ive learn bit find streak leagu annoy though distract actual make progress get experi lose streak rise leagu result almost never actual lesson learn bare lesson outsid practic one im make progress activ detriment experi
"Been using this consistently for almost a year and I hate it more than ever. You can't look up vocab words you've learned, I have to go to a different app for that. The rewards are super buggy and frequently don't reward. The AI voices are incomprehensible a lot of the time. And many native language speakers find their choices to teach people absurd. These are all easy fixes and other apps do them well. Duolingo is living off of its marketing team, because the underlying program is abysmal.","been using this consistently for almost a year and i hate it more than ever. you can't look up vocab words you've learned, i have to go to a different app for that. the rewards are super buggy and frequently don't reward. the ai voices are incomprehensible a lot of the time. and many native language speakers find their choices to teach people absurd. these are all easy fixes and other apps do them well. duolingo is living off of its marketing team, because the underlying program is abysmal.",been using this consistently for almost  year and  hate it more than ever you cant look up vocab words youve learned  have to go to  different app for that the rewards are super buggy and frequently dont reward the ai voices are incomprehensible  lot of the time and many native language speakers find their choices to teach people absurd these are all easy fixes and other apps do them well duolingo is living off of its marketing team because the underlying program is abysmal,using consistently almost year hate ever cant look vocab words youve learned go different app rewards super buggy frequently dont reward ai voices incomprehensible lot time many native language speakers find choices teach people absurd easy fixes apps well duolingo living marketing team underlying program abysmal,use consist almost year hate ever cant look vocab word youv learn go differ app reward super buggi frequent dont reward ai voic incomprehens lot time mani nativ languag speaker find choic teach peopl absurd easi fix app well duolingo live market team underli program abysm
"too much repetition of some easy things, then"" you learned 25 new words today."" not enough explanation for how to construct sentences and tenses, just a lot of guessing. I've been doing this for 250 days and it goes back to review simple words, but I feel like I'm missing so much understanding. I like the game format, but even bought a book to try and understand more. when my year's up I'll try something else I think.","too much repetition of some easy things, then"" you learned 25 new words today."" not enough explanation for how to construct sentences and tenses, just a lot of guessing. i've been doing this for 250 days and it goes back to review simple words, but i feel like i'm missing so much understanding. i like the game format, but even bought a book to try and understand more. when my year's up i'll try something else i think.",too much repetition of some easy things then you learned new words today not enough explanation for how to construct sentences and tenses just  lot of guessing ive been doing this for days and it goes back to review simple words but  feel like im missing so much understanding  like the game format but even bought  book to try and understand more when my years up ill try something else  think,much repetition easy things learned new words today enough explanation construct sentences tenses lot guessing ive days goes back review simple words feel like im missing much understanding like game format even bought book try understand years ill try something else think,much repetit easi thing learn new word today enough explan construct sentenc tens lot guess ive day goe back review simpl word feel like im miss much understand like game format even bought book tri understand year ill tri someth els think
"Incessant advertisements. Free version has gotten rid of practicing to earn hearts. They take longer to regenerate now as well, and even when I complete goals, the XP boosts only work occasionally. They glitch all the time and I lose a lot of XP that way. I used to love duolingo. Now it just feels less about making learning accessible, more about being a money grab. Also, there is pretty obvious AI garbage now in a lot of lessons.","incessant advertisements. free version has gotten rid of practicing to earn hearts. they take longer to regenerate now as well, and even when i complete goals, the xp boosts only work occasionally. they glitch all the time and i lose a lot of xp that way. i used to love duolingo. now it just feels less about making learning accessible, more about being a money grab. also, there is pretty obvious ai garbage now in a lot of lessons.",incessant advertisements free version has gotten rid of practicing to earn hearts they take longer to regenerate now as well and even when  complete goals the xp boosts only work occasionally they glitch all the time and  lose  lot of xp that way  used to love duolingo now it just feels less about making learning accessible more about being  money grab also there is pretty obvious ai garbage now in  lot of lessons,incessant advertisements free version gotten rid practicing earn hearts take longer regenerate well even complete goals xp boosts work occasionally glitch time lose lot xp way used love duolingo feels less making learning accessible money grab also pretty obvious ai garbage lot lessons,incess advertis free version gotten rid practic earn heart take longer regener well even complet goal xp boost work occasion glitch time lose lot xp way use love duolingo feel less make learn access money grab also pretti obviou ai garbag lot lesson
"Purchased an annual subscription for this and regretting. New higher tier subscription came out since and I'm constantly nagged to updated. The whole trophy system is just silly and greatly flawed. Lessons don't scale in difficulty linearly. It goes from 0-60 quite quickly. Duolingo definitely helped at first, but I didn't need the premium version to get there, and now it's lessons are just too difficult and there is no bridge. I'll definitely be switching to another app to continue learning.","purchased an annual subscription for this and regretting. new higher tier subscription came out since and i'm constantly nagged to updated. the whole trophy system is just silly and greatly flawed. lessons don't scale in difficulty linearly. it goes from 0-60 quite quickly. duolingo definitely helped at first, but i didn't need the premium version to get there, and now it's lessons are just too difficult and there is no bridge. i'll definitely be switching to another app to continue learning.",purchased an annual subscription for this and regretting new higher tier subscription came out since and im constantly nagged to updated the whole trophy system is just silly and greatly flawed lessons dont scale in difficulty linearly it goes from quite quickly duolingo definitely helped at first but  didnt need the premium version to get there and now its lessons are just too difficult and there is no bridge ill definitely be switching to another app to continue learning,purchased annual subscription regretting new higher tier subscription came since im constantly nagged updated whole trophy system silly greatly flawed lessons dont scale difficulty linearly goes quite quickly duolingo definitely helped first didnt need premium version get lessons difficult bridge ill definitely switching another app continue learning,purchas annual subscript regret new higher tier subscript came sinc im constantli nag updat whole trophi system silli greatli flaw lesson dont scale difficulti linearli goe quit quickli duolingo definit help first didnt need premium version get lesson difficult bridg ill definit switch anoth app continu learn
"I LOVE everything about this app. Over the years it's just gotten better. The free version has everything you need to enjoy the app, but I did the free trial of the paid version and I kept it because the experience just gets better. In spare time, I've learned two languages enough to understand and hold basic conversations. The rankings and challenges are great for competitive people like me. Very entertaining AND useful. Not something you get every day!","i love everything about this app. over the years it's just gotten better. the free version has everything you need to enjoy the app, but i did the free trial of the paid version and i kept it because the experience just gets better. in spare time, i've learned two languages enough to understand and hold basic conversations. the rankings and challenges are great for competitive people like me. very entertaining and useful. not something you get every day!", love everything about this app over the years its just gotten better the free version has everything you need to enjoy the app but  did the free trial of the paid version and  kept it because the experience just gets better in spare time ive learned two languages enough to understand and hold basic conversations the rankings and challenges are great for competitive people like me very entertaining and useful not something you get every day,love everything app years gotten better free version everything need enjoy app free trial paid version kept experience gets better spare time ive learned two languages enough understand hold basic conversations rankings challenges great competitive people like entertaining useful something get every day,love everyth app year gotten better free version everyth need enjoy app free trial paid version kept experi get better spare time ive learn two languag enough understand hold basic convers rank challeng great competit peopl like entertain use someth get everi day
"Disappointed in Addition Upcharge - Using Duolingo to learn Spanish. when I first started, they had piloted AI for interactive conversation. Then they discontinued the pilot and are charging a fairly hefty price for that feature. Also are requiring this new, extra subscription to explain what you did wrong. This really sucks as part of learning new language is helping you understand why something is wrong. Looking at other options, as Duo really falls short in these two areas .","disappointed in addition upcharge - using duolingo to learn spanish. when i first started, they had piloted ai for interactive conversation. then they discontinued the pilot and are charging a fairly hefty price for that feature. also are requiring this new, extra subscription to explain what you did wrong. this really sucks as part of learning new language is helping you understand why something is wrong. looking at other options, as duo really falls short in these two areas .",disappointed in addition upcharge using duolingo to learn spanish when  first started they had piloted ai for interactive conversation then they discontinued the pilot and are charging  fairly hefty price for that feature also are requiring this new extra subscription to explain what you did wrong this really sucks as part of learning new language is helping you understand why something is wrong looking at other options as duo really falls short in these two areas,disappointed addition upcharge using duolingo learn spanish first started piloted ai interactive conversation discontinued pilot charging fairly hefty price feature also requiring new extra subscription explain wrong really sucks part learning new language helping understand something wrong looking options duo really falls short two areas,disappoint addit upcharg use duolingo learn spanish first start pilot ai interact convers discontinu pilot charg fairli hefti price featur also requir new extra subscript explain wrong realli suck part learn new languag help understand someth wrong look option duo realli fall short two area
